label,step,mean_inventory,std_inventory,mean_mid,std_mid,n_episodes
No spread_norm,21,317.608,311.2672265690688,585.58878,0.20355739141578277,250
No spread_norm,22,209.3,248.2155555157654,585.5842399999998,0.2041255064904911,250
No spread_norm,23,130.58,192.54286691539633,585.58224,0.21068028479191425,250
No spread_norm,24,74.984,140.0000562285601,585.5806799999995,0.2126643778351317,250
No spread_norm,25,41.776,95.25803810702794,585.58046,0.2135698677248223,250
No spread_norm,26,21.436,58.918502221288755,585.5824,0.21318311377780017,250
No spread_norm,27,10.64,35.37884113421469,585.58102,0.21491174839919938,250
No spread_norm,28,4.972,18.54344132031594,585.5807600000003,0.2150242367734438,250
No spread_norm,29,2.656,8.908516374795505,585.5804199999999,0.21351188163659743,250
No spread_norm,30,1.696,4.665145656890049,585.5812200000001,0.2141677183891178,250
No spread_norm,31,1.32,2.2859571299567256,585.5827799999998,0.21242074192507157,250
No spread_norm,32,1.124,1.0062922040838849,585.5823600000003,0.21793079268428278,250
No spread_norm,33,1.06,0.5219195340279948,585.5837400000001,0.216610508517014,250
No spread_norm,34,1.024,0.21777052142105904,585.5827200000002,0.21899315423089902,250
No spread_norm,35,1.012,0.10888526071052952,585.5836800000001,0.2151512435474136,250
No spread_norm,36,1.0,0.0,585.5856199999995,0.21986749555129761,250
No spread_norm,37,1.0,0.0,585.5860599999999,0.21806369803339554,250
No spread_norm,38,1.0,0.0,585.5867199999999,0.2206273818001724,250
No spread_norm,39,1.0,0.0,585.5913400000002,0.2171246287273746,250
No spread_norm,40,1.0,0.0,585.5908799999996,0.2179133442448999,250
No spread_norm,41,1.0,0.0,585.5879600000001,0.21822565935288693,250
No spread_norm,42,1.0,0.0,585.5890799999995,0.21572842557252941,250
No spread_norm,43,1.0,0.0,585.5888800000002,0.21587900685337574,250
No spread_norm,44,1.0,0.0,585.5893400000001,0.21771463983848335,250
No spread_norm,45,1.0,0.0,585.58998,0.21901986119984362,250
No spread_norm,46,1.0,0.0,585.5894599999996,0.21895206872737905,250
No spread_norm,47,1.0,0.0,585.5905599999999,0.22060889918587462,250
No spread_norm,48,1.0,0.0,585.5896800000004,0.21826107669486408,250
No spread_norm,49,1.0,0.0,585.5872399999995,0.22024028332709777,250
No spread_norm,50,0.0,0.0,585.5907600000002,0.22017725223101015,250
No book_imbalance,0,12000.0,0.0,586.0226000000001,0.09241774721340004,250
No book_imbalance,1,11058.24,728.5185669562572,586.0037600000003,0.09520957094745808,250
No book_imbalance,2,10395.68,985.6100454033526,585.99016,0.09906449616285481,250
No book_imbalance,3,9819.608,1108.3389221424998,585.9734199999998,0.09997401462379865,250
No book_imbalance,4,9248.876,1164.5372044825363,585.9600600000001,0.10277011433291215,250
No book_imbalance,5,8819.204,1107.5455757593002,585.9501600000001,0.10895400130329848,250
No book_imbalance,6,8401.74,1098.7950529557365,585.9405000000003,0.11413785524530945,250
No book_imbalance,7,8055.304,1123.4977577120485,585.9296600000002,0.11841023773305628,250
No book_imbalance,8,7710.208,1101.5415801212412,585.9227199999998,0.1166824819756583,250
No book_imbalance,9,7409.488,1053.9026794993924,585.9130600000002,0.12261132247879718,250
No book_imbalance,10,7094.312,1003.2708341499819,585.9056600000002,0.12119927557539042,250
No book_imbalance,11,6806.592,930.8778145041376,585.8935600000002,0.1268862734892949,250
No book_imbalance,12,6563.552,905.3359549338577,585.8883199999997,0.12720289933802417,250
No book_imbalance,13,6344.688,887.7644454786416,585.8797599999997,0.12974028826852144,250
No book_imbalance,14,6093.664,887.2828946305681,585.8734600000007,0.13478771605750642,250
No book_imbalance,15,5900.66,907.7420649061055,585.8691000000003,0.13824069588944873,250
No book_imbalance,16,5730.88,911.3951555719397,585.8654000000001,0.14036538034714383,250
No book_imbalance,17,5528.66,939.8936920737367,585.8618399999998,0.14475985078743733,250
No book_imbalance,18,5357.484,959.528130772621,585.85926,0.14444705742935843,250
No book_imbalance,19,5193.52,991.2763901152894,585.8577800000004,0.14472032200075222,250
No book_imbalance,20,5005.64,1012.9905381591676,585.8512599999998,0.14576800883595967,250
No book_imbalance,21,4803.884,1066.049611671052,585.8480399999997,0.14771580281066934,250
No book_imbalance,22,4601.592,1110.3516855195026,585.8404200000001,0.14980094659246537,250
No book_imbalance,23,4385.34,1200.7715921023448,585.8327200000002,0.15045930213848407,250
No book_imbalance,24,4196.336,1212.8362853674853,585.8323600000003,0.15043546922185833,250
No book_imbalance,25,3998.512,1231.7315364380338,585.82808,0.15145862009142733,250
No book_imbalance,26,3771.052,1228.9834536298688,585.8223599999999,0.15807412944565508,250
No book_imbalance,27,3583.468,1223.0652251519546,585.8176600000003,0.15853335421922968,250
No book_imbalance,28,3333.32,1180.3683906306542,585.8091400000005,0.16224660366245114,250
No book_imbalance,29,3119.688,1151.4019518204752,585.8083599999999,0.1604709020352312,250
No book_imbalance,30,2938.644,1115.492051636407,585.8029600000002,0.15915790398217447,250
No book_imbalance,31,2707.996,1041.8094931339417,585.7970600000004,0.1629780856434356,250
No book_imbalance,32,2505.444,969.2536834410279,585.7946199999999,0.16566156947222568,250
No book_imbalance,33,2309.036,914.9360648176464,585.78544,0.17212206831199928,250
No book_imbalance,34,2131.376,847.9102939721867,585.7808600000001,0.17129436768323947,250
No book_imbalance,35,1956.184,774.6703648288089,585.7817200000004,0.1704618479308517,250
No book_imbalance,36,1831.684,730.0248709078342,585.7767800000003,0.17586395764908622,250
No book_imbalance,37,1698.916,693.043425005966,585.7750200000002,0.17299219519967246,250
No book_imbalance,38,1557.868,629.1458420557191,585.7707599999998,0.17636219095939937,250
No book_imbalance,39,1438.62,567.6758120617786,585.76858,0.17532850196132355,250
No book_imbalance,40,1329.84,512.9511696058407,585.7646600000003,0.17770814387641692,250
