2026-04-30 12:41:43 | INFO    | Episode  2700 | Reward:  -3078.9 | Loss: 51.2126 | Epsilon: 0.589 | Buffer:  50000 | Speed: 5.6 ep/s
2026-04-30 12:41:52 | INFO    | Episode  2750 | Reward:  -3010.8 | Loss: 51.6374 | Epsilon: 0.581 | Buffer:  50000 | Speed: 5.6 ep/s
2026-04-30 12:42:01 | INFO    | Episode  2800 | Reward:  -2929.2 | Loss: 52.5795 | Epsilon: 0.574 | Buffer:  50000 | Speed: 5.6 ep/s
2026-04-30 12:42:09 | INFO    | Episode  2850 | Reward:  -2691.3 | Loss: 49.9827 | Epsilon: 0.566 | Buffer:  50000 | Speed: 5.6 ep/s
2026-04-30 12:42:18 | INFO    | Episode  2900 | Reward:  -2869.0 | Loss: 47.6870 | Epsilon: 0.558 | Buffer:  50000 | Speed: 5.6 ep/s
2026-04-30 12:42:26 | INFO    | Episode  2950 | Reward:  -3080.1 | Loss: 48.3752 | Epsilon: 0.551 | Buffer:  50000 | Speed: 5.6 ep/s
2026-04-30 12:42:34 | INFO    | Episode  3000 | Reward:  -3035.7 | Loss: 47.6381 | Epsilon: 0.543 | Buffer:  50000 | Speed: 5.6 ep/s
2026-04-30 12:42:37 | INFO    | EVAL @ 3000 | Reward=-3616.6 +/- 474.7 | IS=$1064.99 | vs TWAP: -2044.4
2026-04-30 12:42:48 | INFO    | Episode  3050 | Reward:  -3151.5 | Loss: 48.1765 | Epsilon: 0.535 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:42:57 | INFO    | Episode  3100 | Reward:  -3155.3 | Loss: 47.5865 | Epsilon: 0.528 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:43:07 | INFO    | Episode  3150 | Reward:  -3013.6 | Loss: 45.3902 | Epsilon: 0.520 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:43:16 | INFO    | Episode  3200 | Reward:  -2932.3 | Loss: 45.2215 | Epsilon: 0.513 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:43:27 | INFO    | Episode  3250 | Reward:  -2845.6 | Loss: 43.5135 | Epsilon: 0.505 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:43:38 | INFO    | Episode  3300 | Reward:  -2973.2 | Loss: 42.7686 | Epsilon: 0.497 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:43:48 | INFO    | Episode  3350 | Reward:  -3024.5 | Loss: 42.1613 | Epsilon: 0.490 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:43:58 | INFO    | Episode  3400 | Reward:  -2900.9 | Loss: 41.2994 | Epsilon: 0.482 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:44:08 | INFO    | Episode  3450 | Reward:  -2907.0 | Loss: 41.1072 | Epsilon: 0.475 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:44:18 | INFO    | Episode  3500 | Reward:  -2986.9 | Loss: 40.4363 | Epsilon: 0.467 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:44:20 | INFO    | EVAL @ 3500 | Reward=-4368.8 +/- 568.9 | IS=$987.33 | vs TWAP: -2796.6
2026-04-30 12:44:31 | INFO    | Episode  3550 | Reward:  -2966.2 | Loss: 40.2086 | Epsilon: 0.459 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:44:41 | INFO    | Episode  3600 | Reward:  -2817.7 | Loss: 39.4036 | Epsilon: 0.452 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:44:50 | INFO    | Episode  3650 | Reward:  -2945.5 | Loss: 38.1494 | Epsilon: 0.444 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:44:59 | INFO    | Episode  3700 | Reward:  -3047.2 | Loss: 37.0192 | Epsilon: 0.436 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:45:08 | INFO    | Episode  3750 | Reward:  -3069.0 | Loss: 37.1745 | Epsilon: 0.429 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:45:17 | INFO    | Episode  3800 | Reward:  -3015.2 | Loss: 37.9002 | Epsilon: 0.421 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:45:26 | INFO    | Episode  3850 | Reward:  -2860.8 | Loss: 36.8640 | Epsilon: 0.414 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:45:36 | INFO    | Episode  3900 | Reward:  -3119.6 | Loss: 36.6661 | Epsilon: 0.406 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:45:46 | INFO    | Episode  3950 | Reward:  -3295.9 | Loss: 36.8070 | Epsilon: 0.398 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:45:57 | INFO    | Episode  4000 | Reward:  -3145.7 | Loss: 34.5234 | Epsilon: 0.391 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:45:59 | INFO    | EVAL @ 4000 | Reward=-2275.0 +/- 231.8 | IS=$707.57 | vs TWAP: -702.8
2026-04-30 12:46:09 | INFO    | Episode  4050 | Reward:  -2982.7 | Loss: 33.5214 | Epsilon: 0.383 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:46:18 | INFO    | Episode  4100 | Reward:  -2980.0 | Loss: 34.4935 | Epsilon: 0.376 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:46:28 | INFO    | Episode  4150 | Reward:  -2870.8 | Loss: 34.6457 | Epsilon: 0.368 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:46:38 | INFO    | Episode  4200 | Reward:  -2805.3 | Loss: 33.9054 | Epsilon: 0.360 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:46:46 | INFO    | Episode  4250 | Reward:  -2883.0 | Loss: 33.2511 | Epsilon: 0.353 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:46:54 | INFO    | Episode  4300 | Reward:  -2958.6 | Loss: 33.4503 | Epsilon: 0.345 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:47:02 | INFO    | Episode  4350 | Reward:  -3147.1 | Loss: 33.9667 | Epsilon: 0.337 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:47:11 | INFO    | Episode  4400 | Reward:  -3103.8 | Loss: 33.1352 | Epsilon: 0.330 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:47:19 | INFO    | Episode  4450 | Reward:  -2841.4 | Loss: 32.3974 | Epsilon: 0.322 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:47:27 | INFO    | Episode  4500 | Reward:  -2772.3 | Loss: 32.0999 | Epsilon: 0.315 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:47:30 | INFO    | EVAL @ 4500 | Reward=-2040.8 +/- 190.0 | IS=$603.69 | vs TWAP: -468.6
2026-04-30 12:47:37 | INFO    | Episode  4550 | Reward:  -2879.7 | Loss: 31.3602 | Epsilon: 0.307 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:47:45 | INFO    | Episode  4600 | Reward:  -2706.6 | Loss: 30.9216 | Epsilon: 0.299 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:47:53 | INFO    | Episode  4650 | Reward:  -2618.8 | Loss: 30.5995 | Epsilon: 0.292 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:48:01 | INFO    | Episode  4700 | Reward:  -2784.2 | Loss: 30.0841 | Epsilon: 0.284 | Buffer:  50000 | Speed: 5.4 ep/s
2026-04-30 12:48:09 | INFO    | Episode  4750 | Reward:  -2899.5 | Loss: 30.3974 | Epsilon: 0.277 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:48:17 | INFO    | Episode  4800 | Reward:  -2852.4 | Loss: 31.1132 | Epsilon: 0.269 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:48:25 | INFO    | Episode  4850 | Reward:  -2754.5 | Loss: 31.0888 | Epsilon: 0.261 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:48:32 | INFO    | Episode  4900 | Reward:  -2844.9 | Loss: 30.6943 | Epsilon: 0.254 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:48:41 | INFO    | Episode  4950 | Reward:  -2830.0 | Loss: 29.8084 | Epsilon: 0.246 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:48:51 | INFO    | Episode  5000 | Reward:  -2626.7 | Loss: 29.5828 | Epsilon: 0.238 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:48:53 | INFO    | EVAL @ 5000 | Reward=-1461.5 +/- 157.9 | IS=$1140.24 | vs TWAP: +110.7
2026-04-30 12:49:02 | INFO    | Episode  5050 | Reward:  -2567.6 | Loss: 29.8384 | Epsilon: 0.231 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:49:11 | INFO    | Episode  5100 | Reward:  -2750.3 | Loss: 29.7659 | Epsilon: 0.223 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:49:20 | INFO    | Episode  5150 | Reward:  -2714.0 | Loss: 28.9381 | Epsilon: 0.216 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:49:29 | INFO    | Episode  5200 | Reward:  -2373.7 | Loss: 28.1585 | Epsilon: 0.208 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:49:38 | INFO    | Episode  5250 | Reward:  -2335.4 | Loss: 28.1380 | Epsilon: 0.200 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:49:47 | INFO    | Episode  5300 | Reward:  -2377.1 | Loss: 27.7799 | Epsilon: 0.193 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:49:57 | INFO    | Episode  5350 | Reward:  -2252.5 | Loss: 27.4271 | Epsilon: 0.185 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:50:05 | INFO    | Episode  5400 | Reward:  -2255.7 | Loss: 27.3388 | Epsilon: 0.178 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:50:15 | INFO    | Episode  5450 | Reward:  -2288.0 | Loss: 26.7611 | Epsilon: 0.170 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:50:25 | INFO    | Episode  5500 | Reward:  -2248.4 | Loss: 26.1329 | Epsilon: 0.162 | Buffer:  50000 | Speed: 5.5 ep/s
2026-04-30 12:50:27 | INFO    | EVAL @ 5500 | Reward=-1480.6 +/- 247.9 | IS=$1758.84 | vs TWAP: +91.6
2026-04-30 12:50:37 | INFO    | Episode  5550 | Reward:  -2240.9 | Loss: 25.7661 | Epsilon: 0.155 | Buffer:  50000 | Speed: 5.4 ep/s
