episode,Tabular Q-Learning,Vanilla DQN,DQN + Replay
285,-500.0,-500.0,-480.09
286,-500.0,-500.0,-480.88
287,-500.0,-500.0,-480.88
288,-500.0,-500.0,-480.88
289,-500.0,-500.0,-480.88
290,-500.0,-500.0,-480.88
291,-500.0,-500.0,-480.88
292,-500.0,-500.0,-480.88
293,-500.0,-500.0,-480.88
294,-500.0,-500.0,-482.06
295,-500.0,-500.0,-482.06
296,-500.0,-500.0,-482.06
297,-500.0,-500.0,-482.06
298,-500.0,-500.0,-482.06
299,-500.0,-500.0,-482.4
300,-500.0,-500.0,-483.33
301,-500.0,-500.0,-484.79
302,-500.0,-500.0,-484.93
303,-500.0,-500.0,-484.93
304,-500.0,-500.0,-484.93
305,-498.58,-500.0,-484.93
306,-498.58,-500.0,-484.93
307,-498.4,-500.0,-485.47
308,-498.4,-500.0,-485.78
309,-498.4,-500.0,-485.78
310,-498.4,-500.0,-485.78
311,-498.4,-500.0,-486.92
312,-498.4,-500.0,-486.92
313,-498.4,-500.0,-487.93
314,-498.4,-500.0,-488.05
315,-498.4,-500.0,-488.59
316,-498.4,-500.0,-488.87
317,-498.4,-500.0,-488.87
318,-498.4,-500.0,-488.87
319,-498.4,-500.0,-488.87
320,-498.4,-500.0,-491.21
321,-498.4,-500.0,-492.47
322,-498.4,-500.0,-493.99
323,-498.4,-500.0,-493.99
324,-498.4,-500.0,-494.88
325,-498.4,-500.0,-496.18
326,-498.4,-500.0,-496.18
327,-498.4,-500.0,-497.44
328,-498.4,-500.0,-498.02
329,-498.4,-500.0,-499.17
330,-498.4,-500.0,-500.0
331,-498.4,-500.0,-500.0
332,-498.4,-500.0,-500.0
333,-498.4,-500.0,-500.0
334,-498.4,-500.0,-500.0
335,-498.4,-500.0,-500.0
336,-498.4,-500.0,-500.0
337,-498.4,-500.0,-500.0
338,-498.4,-500.0,-500.0
339,-498.4,-500.0,-500.0
340,-497.68,-500.0,-500.0
341,-497.68,-500.0,-500.0
342,-497.68,-500.0,-500.0
343,-496.75,-500.0,-500.0
344,-496.75,-500.0,-500.0
345,-496.75,-500.0,-500.0
346,-496.75,-500.0,-500.0
347,-496.75,-500.0,-500.0
348,-496.75,-500.0,-500.0
349,-496.75,-500.0,-500.0
350,-495.8,-500.0,-500.0
351,-494.66,-500.0,-500.0
352,-494.66,-500.0,-500.0
353,-494.66,-500.0,-500.0
354,-494.66,-500.0,-500.0
355,-494.66,-500.0,-500.0
356,-494.66,-500.0,-500.0
357,-494.66,-500.0,-500.0
358,-494.66,-500.0,-500.0
359,-494.66,-500.0,-500.0
360,-494.66,-500.0,-500.0
361,-494.66,-500.0,-500.0
362,-494.66,-500.0,-500.0
363,-494.66,-500.0,-500.0
364,-494.66,-500.0,-500.0
365,-494.66,-500.0,-500.0
366,-494.66,-500.0,-500.0
367,-494.66,-500.0,-500.0
368,-494.66,-500.0,-500.0
369,-494.66,-500.0,-500.0
370,-494.66,-500.0,-500.0
371,-494.66,-500.0,-500.0
372,-494.66,-500.0,-500.0
373,-494.66,-500.0,-500.0
374,-494.66,-500.0,-500.0
375,-494.66,-500.0,-500.0
376,-494.66,-500.0,-500.0
377,-494.66,-500.0,-500.0
378,-494.66,-500.0,-500.0
379,-494.66,-500.0,-500.0
380,-494.66,-500.0,-500.0
381,-494.66,-500.0,-500.0
382,-494.66,-500.0,-500.0
383,-494.66,-500.0,-500.0
384,-494.66,-500.0,-500.0
385,-494.66,-500.0,-500.0
386,-494.66,-500.0,-500.0
387,-492.78,-500.0,-500.0
388,-492.78,-500.0,-500.0
389,-492.78,-500.0,-500.0
390,-492.78,-500.0,-500.0
391,-492.78,-500.0,-500.0
392,-492.78,-500.0,-500.0
393,-491.75,-500.0,-500.0
394,-491.75,-500.0,-500.0
395,-491.75,-500.0,-500.0
396,-491.75,-500.0,-500.0
397,-491.75,-500.0,-500.0
398,-489.88,-500.0,-500.0
399,-489.88,-500.0,-500.0
400,-489.88,-500.0,-500.0
401,-489.88,-500.0,-500.0
402,-489.88,-500.0,-500.0
403,-489.88,-500.0,-500.0
404,-489.88,-500.0,-500.0
405,-491.3,-500.0,-500.0
406,-491.17,-500.0,-500.0
407,-491.35,-500.0,-500.0
408,-491.35,-500.0,-500.0
409,-491.35,-500.0,-500.0
410,-491.35,-500.0,-500.0
411,-491.35,-500.0,-500.0
412,-491.35,-500.0,-500.0
413,-491.35,-500.0,-500.0
414,-491.35,-500.0,-500.0
415,-491.35,-500.0,-500.0
416,-491.35,-500.0,-500.0
417,-491.35,-500.0,-500.0
418,-491.35,-500.0,-500.0
419,-491.35,-500.0,-500.0
420,-491.35,-500.0,-500.0
421,-491.35,-500.0,-500.0
422,-491.35,-500.0,-500.0
423,-491.35,-500.0,-500.0
424,-490.63,-500.0,-500.0
425,-490.63,-500.0,-500.0
426,-490.63,-500.0,-500.0
427,-490.63,-500.0,-500.0
428,-490.63,-500.0,-500.0
429,-490.63,-500.0,-500.0
430,-490.63,-500.0,-500.0
431,-490.63,-500.0,-500.0
432,-490.63,-500.0,-500.0
433,-490.63,-500.0,-500.0
434,-490.63,-500.0,-500.0
435,-490.63,-500.0,-500.0
436,-490.63,-500.0,-500.0
437,-490.63,-500.0,-500.0
438,-490.63,-500.0,-500.0
439,-490.63,-500.0,-500.0
440,-491.35,-500.0,-500.0
441,-489.45,-500.0,-500.0
442,-489.45,-500.0,-500.0
443,-490.38,-500.0,-500.0
444,-490.38,-500.0,-500.0
445,-489.39,-500.0,-500.0
446,-489.39,-500.0,-500.0
