2026-04-30 13:25:14 | INFO    | Episode  2750 | Reward:  -2380.6 | Loss: 30.1614 | Epsilon: 0.581 | Buffer:  50000 | Speed: 7.8 ep/s
2026-04-30 13:25:21 | INFO    | Episode  2800 | Reward:  -2298.7 | Loss: 29.4438 | Epsilon: 0.574 | Buffer:  50000 | Speed: 7.8 ep/s
2026-04-30 13:25:28 | INFO    | Episode  2850 | Reward:  -2262.7 | Loss: 28.8679 | Epsilon: 0.566 | Buffer:  50000 | Speed: 7.8 ep/s
2026-04-30 13:25:34 | INFO    | Episode  2900 | Reward:  -2350.4 | Loss: 28.5282 | Epsilon: 0.558 | Buffer:  50000 | Speed: 7.8 ep/s
2026-04-30 13:25:41 | INFO    | Episode  2950 | Reward:  -2350.6 | Loss: 27.8045 | Epsilon: 0.551 | Buffer:  50000 | Speed: 7.8 ep/s
2026-04-30 13:25:47 | INFO    | Episode  3000 | Reward:  -2290.8 | Loss: 26.5671 | Epsilon: 0.543 | Buffer:  50000 | Speed: 7.8 ep/s
2026-04-30 13:25:49 | INFO    | EVAL @ 3000 | Reward=-3751.4 +/- 768.9 | IS=$504.56 | vs TWAP: -2753.3
2026-04-30 13:25:57 | INFO    | Episode  3050 | Reward:  -2277.9 | Loss: 25.6605 | Epsilon: 0.535 | Buffer:  50000 | Speed: 7.7 ep/s
2026-04-30 13:26:04 | INFO    | Episode  3100 | Reward:  -2343.3 | Loss: 24.8250 | Epsilon: 0.528 | Buffer:  50000 | Speed: 7.7 ep/s
2026-04-30 13:26:10 | INFO    | Episode  3150 | Reward:  -2435.8 | Loss: 24.5968 | Epsilon: 0.520 | Buffer:  50000 | Speed: 7.7 ep/s
2026-04-30 13:26:17 | INFO    | Episode  3200 | Reward:  -2370.9 | Loss: 24.4110 | Epsilon: 0.513 | Buffer:  50000 | Speed: 7.7 ep/s
2026-04-30 13:26:23 | INFO    | Episode  3250 | Reward:  -2240.9 | Loss: 23.6881 | Epsilon: 0.505 | Buffer:  50000 | Speed: 7.7 ep/s
2026-04-30 13:26:30 | INFO    | Episode  3300 | Reward:  -2323.4 | Loss: 23.3247 | Epsilon: 0.497 | Buffer:  50000 | Speed: 7.7 ep/s
2026-04-30 13:26:36 | INFO    | Episode  3350 | Reward:  -2341.1 | Loss: 22.6818 | Epsilon: 0.490 | Buffer:  50000 | Speed: 7.7 ep/s
2026-04-30 13:26:44 | INFO    | Episode  3400 | Reward:  -2281.3 | Loss: 22.4712 | Epsilon: 0.482 | Buffer:  50000 | Speed: 7.7 ep/s
2026-04-30 13:26:51 | INFO    | Episode  3450 | Reward:  -2321.1 | Loss: 22.4871 | Epsilon: 0.475 | Buffer:  50000 | Speed: 7.7 ep/s
2026-04-30 13:26:58 | INFO    | Episode  3500 | Reward:  -2313.4 | Loss: 21.6434 | Epsilon: 0.467 | Buffer:  50000 | Speed: 7.7 ep/s
2026-04-30 13:27:00 | INFO    | EVAL @ 3500 | Reward=-3317.9 +/- 1024.0 | IS=$998.61 | vs TWAP: -2319.8
2026-04-30 13:27:07 | INFO    | Episode  3550 | Reward:  -2273.6 | Loss: 20.9716 | Epsilon: 0.459 | Buffer:  50000 | Speed: 7.6 ep/s
2026-04-30 13:27:14 | INFO    | Episode  3600 | Reward:  -2342.7 | Loss: 21.0268 | Epsilon: 0.452 | Buffer:  50000 | Speed: 7.6 ep/s
2026-04-30 13:27:22 | INFO    | Episode  3650 | Reward:  -2405.6 | Loss: 20.7905 | Epsilon: 0.444 | Buffer:  50000 | Speed: 7.6 ep/s
