label,step,mean_inventory,std_inventory,mean_mid,std_mid,n_episodes
No spread_norm,2,8283.928,1184.9480203013127,585.9249400000004,0.11841155517938079,250
No spread_norm,3,7353.792,1116.1586180897414,585.8866600000003,0.1327921097053643,250
No spread_norm,4,6614.572,1150.3093413582274,585.8487800000001,0.1406293411774356,250
No spread_norm,5,5858.188,1147.2600475288941,585.8142199999996,0.14739026969240598,250
No spread_norm,6,5150.504,1143.8643774434101,585.7835999999998,0.1515303269976031,250
No spread_norm,7,4510.352,1141.5976156667462,585.75132,0.1651564639970195,250
No spread_norm,8,3930.024,1011.5144444959743,585.7201600000001,0.1740298089408784,250
No spread_norm,9,3435.724,850.8080393508279,585.6960199999999,0.1897663289416786,250
No spread_norm,10,3058.72,700.7242664557863,585.6781400000001,0.19623567565557112,250
No spread_norm,11,2776.116,522.4446674471852,585.6645799999999,0.2038276811426735,250
No spread_norm,12,2602.216,382.76192253671206,585.6544799999996,0.2101916496914126,250
No spread_norm,13,2471.132,283.92176840813033,585.6487599999997,0.21275963526947844,250
No spread_norm,14,2373.656,214.6935156542926,585.64448,0.2177033063598249,250
No spread_norm,15,2299.824,172.69277061880737,585.6421000000001,0.22405108792416056,250
No spread_norm,16,2232.14,148.6741685700647,585.6394799999999,0.22576299431040225,250
No spread_norm,17,2170.296,143.05076156385883,585.6365800000002,0.2261088313180219,250
No spread_norm,18,2116.684,136.14768504825923,585.6354599999997,0.2291538531205661,250
No spread_norm,19,2064.356,127.47312369280047,585.6378599999999,0.23108336244741257,250
No spread_norm,20,2014.748,121.62399638229296,585.6361599999998,0.23244408876115114,250
No spread_norm,21,1968.876,118.90721014303551,585.6363800000001,0.23167001446022426,250
No spread_norm,22,1915.544,111.89244864601014,585.63626,0.233812985952453,250
No spread_norm,23,1871.808,107.70531619191316,585.6369400000004,0.2344319440690696,250
No spread_norm,24,1824.72,105.35734241143331,585.6343399999998,0.23099754197826922,250
No spread_norm,25,1775.392,99.93925322914912,585.6315399999996,0.23059429394501302,250
No spread_norm,26,1726.444,97.20542610369033,585.63166,0.2294444255151966,250
No spread_norm,27,1675.768,94.5665595017604,585.6301399999998,0.2323215022334331,250
No spread_norm,28,1635.072,98.30952556085296,585.6280800000002,0.22798884534116903,250
No spread_norm,29,1583.52,108.61182992657844,585.6285,0.22902543526866032,250
